iter	Logloss
0	0.6847697963
1	0.6768107634
2	0.6689029333
3	0.6609667579
4	0.6537043926
5	0.6462037786
6	0.6391715889
7	0.6324878735
8	0.6256552152
9	0.6197653521
10	0.6142113812
11	0.6088869377
12	0.6040091796
13	0.5987896923
14	0.5939994145
15	0.5890950476
16	0.5846305474
17	0.5802588642
18	0.5764245497
19	0.5726255657
20	0.5688152727
21	0.5652609087
22	0.5621044328
23	0.5587560236
24	0.5555932076
25	0.5526770001
26	0.5496752419
27	0.5468366613
28	0.5441234818
29	0.5415696812
30	0.5392878409
31	0.5367854819
32	0.535007032
33	0.5328862959
34	0.5311840964
35	0.5292275119
36	0.5272862978
37	0.5257654819
38	0.5238125596
39	0.5220799235
40	0.5205023301
41	0.5189219771
42	0.5173272089
43	0.5161595532
44	0.5150255893
45	0.5138936169
46	0.512831374
47	0.5114553936
48	0.5101589735
49	0.5089050308
50	0.5077187089
51	0.5065628401
52	0.5054893109
53	0.5044820838
54	0.5033677835
55	0.5023561687
56	0.5015861344
57	0.5006203687
58	0.4998947894
59	0.4989798392
60	0.4981583987
61	0.4975008074
62	0.4968714387
63	0.4960791205
64	0.49532016
65	0.4945757538
66	0.4938582853
67	0.4933086343
68	0.4925883903
69	0.491954174
70	0.491304026
71	0.4907507093
72	0.4901601239
73	0.4895747609
74	0.4890156429
75	0.4884651961
76	0.4879837922
77	0.4875111921
78	0.4871236602
79	0.4866165849
80	0.4861629535
81	0.4857060248
82	0.4852766571
83	0.484851205
84	0.4844366883
85	0.4840393289
86	0.4836484263
87	0.4833624849
88	0.4830076162
89	0.4826356396
90	0.482280399
91	0.4819347774
92	0.4816138028
93	0.4812883264
94	0.4809805191
95	0.4806854939
96	0.4803765472
97	0.4800923693
98	0.4798383665
99	0.4795545286
100	0.4792996724
101	0.4790447877
102	0.4787929722
103	0.4786514096
104	0.4784694893
105	0.4782095282
106	0.4780928128
107	0.4778547191
108	0.4777404085
109	0.4775074693
110	0.4772994305
111	0.4770848557
112	0.4768640516
113	0.4766816518
114	0.4766112168
115	0.4764330304
116	0.4762843231
117	0.4761350276
118	0.4759274301
119	0.47581676
120	0.4756524036
121	0.4754917708
122	0.4753117577
123	0.4751483093
124	0.4750176999
125	0.4748715114
126	0.4747095997
127	0.4745909901
128	0.4744774674
129	0.474319674
130	0.4741623511
131	0.4740229329
132	0.4738976251
133	0.4737999681
134	0.4736538194
135	0.4735195113
136	0.4733993989
137	0.473267781
138	0.4731589451
139	0.4730716143
140	0.4729923974
141	0.4728793388
142	0.4727978369
143	0.472724321
144	0.4726622337
145	0.4725900913
146	0.4724826003
147	0.4724291649
148	0.4723567885
149	0.4722618999
150	0.4721510863
151	0.4720715688
152	0.4719819175
153	0.4718765711
154	0.471809453
155	0.4717223242
156	0.4716389927
157	0.4715440443
158	0.4714595187
159	0.4713748341
160	0.4713109078
161	0.4712326027
162	0.4711374497
163	0.4710940019
164	0.4710238326
165	0.4709390819
166	0.4708865031
167	0.4708417196
168	0.4707713796
169	0.4707072688
170	0.4706505045
171	0.4705740606
172	0.4705172198
173	0.4704457557
174	0.4703732903
175	0.4703289354
176	0.4702787089
177	0.4702227349
178	0.4701804652
179	0.4701268932
180	0.4700530451
181	0.4700059048
182	0.4699551665
183	0.4699117064
184	0.4698538774
185	0.4697927858
186	0.4697425129
187	0.4696746275
188	0.4696420961
189	0.469600776
190	0.4695452561
191	0.4694957327
192	0.4694386365
193	0.4693934529
194	0.4693514879
195	0.4693236317
196	0.4692748665
197	0.469263527
198	0.4692085134
199	0.4691753517
200	0.4691237216
201	0.4690827317
202	0.4690408239
203	0.469023378
204	0.4689726337
205	0.4689100132
206	0.4688665871
207	0.4688423422
208	0.4688075501
209	0.4687843552
210	0.4687489806
211	0.4687272016
212	0.4686828793
213	0.4686442284
214	0.4686025851
215	0.4685597494
216	0.4685141958
217	0.4684711386
218	0.4684370699
219	0.4684026636
220	0.468360735
221	0.468332611
222	0.4683080394
223	0.4682901009
224	0.4682618139
225	0.468228868
226	0.4681933116
227	0.4681768564
228	0.46813944
229	0.4681033061
230	0.4680786807
231	0.4680478523
232	0.4680206773
233	0.4679876417
234	0.467955099
235	0.4679292702
236	0.467887216
237	0.4678626865
238	0.4678552252
239	0.4678213849
240	0.4678003599
241	0.4677722811
242	0.4677325616
243	0.4677008466
244	0.4676978926
245	0.4676797458
246	0.4676633885
247	0.4676363968
248	0.4675971005
249	0.4675674704
250	0.4675368905
251	0.4675228148
252	0.4674908109
253	0.4674735805
254	0.4674521386
255	0.467423584
256	0.467393215
257	0.4673795301
258	0.467344284
259	0.4673216012
260	0.4672921283
261	0.4672652223
262	0.4672386592
263	0.4672252533
264	0.4671976545
265	0.4671739224
266	0.4671397679
267	0.4671212343
268	0.4671036013
269	0.4670800046
270	0.4670570004
271	0.4670404889
272	0.4670144933
273	0.4669896409
274	0.4669645952
