iter	Passed	Remaining
0	274	274422
1	377	188336
2	480	159702
3	596	148491
4	661	131657
5	757	125573
6	853	121051
7	997	123718
8	1106	121860
9	1204	119206
10	1305	117353
11	1401	115405
12	1497	113710
13	1612	113543
14	1719	112936
15	1815	111655
16	1909	110414
17	2014	109906
18	2116	109288
19	2227	109153
20	2338	109015
21	2435	108280
22	2485	105562
23	2563	104237
24	2658	103677
25	2759	103383
26	2854	102873
27	2947	102331
28	3044	101932
29	3141	101570
30	3233	101078
31	3347	101246
32	3423	100307
33	3516	99905
34	3610	99549
35	3714	99476
36	3817	99368
37	3942	99806
38	4060	100064
39	4157	99785
40	4278	100086
41	4391	100176
42	4482	99770
43	4580	99532
44	4678	99290
45	4789	99325
46	4866	98669
47	4960	98378
48	5032	97680
49	5102	96956
50	5195	96679
51	5273	96139
52	5347	95552
53	5427	95089
54	5516	94788
55	5598	94366
56	5676	93916
57	5782	93914
58	5883	93841
59	5980	93691
60	6107	94022
61	6213	94006
62	6301	93727
63	6406	93701
64	6515	93717
65	6612	93572
66	6713	93485
67	6811	93352
68	6912	93262
69	7013	93180
70	7114	93084
71	7217	93028
72	7352	93369
73	7464	93405
74	7556	93201
75	7651	93024
76	7748	92886
77	7817	92411
78	7906	92170
79	7980	91773
80	8054	91385
81	8144	91175
82	8242	91064
83	8355	91109
84	8453	90997
85	8542	90789
86	8650	90779
87	8776	90955
88	8867	90763
89	8953	90530
90	9031	90219
91	9103	89850
92	9193	89658
93	9284	89482
94	9385	89413
95	9486	89334
96	9589	89267
97	9682	89114
98	9782	89032
99	9877	88901
100	9976	88802
101	10078	88727
102	10173	88598
103	10271	88489
104	10362	88325
105	10463	88246
106	10594	88422
107	10689	88290
108	10774	88071
109	10877	88008
110	10983	87965
111	11083	87877
112	11184	87794
113	11253	87457
114	11291	86891
115	11387	86777
116	11476	86616
117	11576	86527
118	11676	86445
119	11795	86498
120	11888	86360
121	11993	86311
122	12100	86277
123	12199	86180
124	12297	86082
125	12387	85927
126	12483	85808
127	12587	85750
128	12678	85602
129	12786	85571
130	12897	85557
131	12993	85440
132	13102	85410
133	13222	85449
134	13324	85374
135	13415	85229
136	13512	85119
137	13613	85037
138	13722	84998
139	13826	84933
140	13934	84889
141	14042	84849
142	14134	84705
143	14228	84579
144	14319	84436
145	14410	84288
146	14503	84162
147	14593	84010
148	14689	83898
149	14794	83836
150	14890	83722
151	15009	83736
152	15108	83639
153	15221	83621
154	15323	83536
155	15458	83632
156	15568	83592
157	15672	83522
158	15776	83447
159	15881	83377
160	15974	83246
161	16079	83174
162	16205	83216
163	16303	83106
164	16400	82994
165	16503	82917
166	16598	82795
167	16692	82669
168	16798	82602
169	16902	82522
170	17001	82423
171	17128	82457
172	17263	82523
173	17361	82415
174	17470	82360
175	17581	82312
176	17708	82337
177	17810	82249
178	17912	82156
179	18010	82049
180	18110	81949
181	18203	81815
182	18299	81698
183	18402	81609
184	18523	81603
185	18636	81558
186	18736	81458
187	18834	81349
188	18928	81221
189	19023	81100
190	19110	80943
191	19200	80801
192	19290	80658
193	19396	80584
194	19538	80660
195	19639	80563
196	19737	80454
197	19786	80146
198	19907	80129
199	19991	79966
200	20096	79884
201	20193	79775
202	20289	79658
203	20397	79590
204	20510	79542
205	20613	79450
206	20713	79353
207	20807	79227
208	20905	79120
209	20994	78979
210	21099	78899
211	21209	78836
212	21319	78770
213	21434	78725
214	21543	78658
215	21643	78558
216	21775	78574
217	21884	78503
218	21986	78408
219	22083	78296
220	22202	78260
221	22299	78150
222	22407	78075
223	22501	77952
224	22601	77849
225	22700	77745
226	22810	77677
227	22920	77607
228	23011	77475
229	23107	77358
230	23209	77265
231	23309	77161
232	23418	77091
233	23520	76993
234	23623	76900
235	23726	76808
236	23828	76713
237	23945	76666
238	24019	76480
239	24119	76379
240	24210	76247
241	24335	76225
242	24445	76152
243	24541	76037
244	24565	75701
245	24667	75607
246	24771	75517
247	24878	75439
248	24972	75319
249	25075	75226
250	25178	75135
251	25275	75023
252	25379	74935
253	25477	74828
254	25585	74749
255	25680	74635
256	25782	74538
257	25883	74439
258	25975	74317
259	26078	74223
260	26205	74199
261	26321	74142
262	26428	74060
263	26539	73988
264	26656	73934
265	26758	73838
266	26868	73763
267	26980	73692
268	27108	73665
269	27227	73614
270	27352	73579
271	27456	73485
272	27558	73389
273	27652	73268
274	27764	73198
275	27874	73121
276	27966	72995
277	28057	72868
278	28149	72744
279	28250	72644
280	28370	72593
281	28481	72516
282	28586	72427
283	28686	72321
284	28808	72273
285	28926	72216
286	29026	72110
287	29123	72000
288	29228	71907
289	29346	71849
290	29443	71737
291	29554	71659
292	29675	71606
293	29764	71475
294	29862	71367
295	29968	71277
296	30076	71190
297	30173	71079
298	30272	70972
299	30364	70850
300	30468	70754
301	30586	70692
302	30703	70627
303	30801	70518
304	30892	70395
305	30949	70192
306	31079	70156
307	31182	70059
308	31289	69971
309	31386	69860
310	31484	69752
311	31590	69660
312	31699	69577
313	31810	69496
314	31911	69394
315	32010	69288
316	32107	69177
317	32210	69080
318	32319	68996
319	32415	68882
320	32517	68782
321	32615	68675
322	32719	68579
323	32826	68489
324	32940	68414
325	33036	68302
326	33138	68202
327	33257	68137
328	33370	68060
329	33483	67982
330	33599	67909
331	33697	67801
332	33793	67688
333	33881	67559
334	33962	67418
335	34061	67312
336	34173	67231
337	34274	67128
338	34400	67076
339	34503	66976
340	34596	66859
341	34705	66773
342	34804	66666
343	34898	66549
344	34999	66448
345	35113	66369
346	35237	66310
347	35353	66237
348	35457	66139
349	35572	66064
350	35683	65979
351	35790	65886
352	35885	65772
353	35982	65662
354	36075	65544
355	36176	65442
356	36286	65356
357	36390	65258
358	36484	65143
359	36580	65031
360	36676	64920
361	36780	64822
362	36887	64730
363	36987	64626
364	37076	64502
365	37201	64441
366	37241	64234
367	37374	64185
368	37490	64109
369	37603	64027
370	37710	63934
